red,very light,255,204,204,0,20,100,100,90
red,light,255,51,51,0,80,100,100,60
red,medium,255,0,0,0,100,100,100,50
red,dark,204,0,0,0,100,80,100,40
red,very dark,51,0,0,0,100,20,100,10
orange,very light,255,237,204,39,20,100,100,90
orange,light,255,184,51,39,80,100,100,60
orange,medium,255,166,0,39,100,100,100,50
orange,dark,204,133,0,39,100,80,100,40
orange,very dark,51,33,0,39,100,20,100,10
brown,very light,209,105,0,30,100,82,100,41
brown,light,179,89,0,30,100,70,100,35
brown,medium,148,74,0,30,100,58,100,29
brown,dark,117,59,0,30,100,46,100,23
brown,very dark,26,13,0,30,100,10,100,5
beige,very light,248,243,231,42,7.021145555,97.42,57,94
beige,light,229,208,159,42,30.50847458,89.68,57,76
beige,medium,222,196,135,42,39.2652124,87.1,57,70
beige,dark,216,184,111,42,48.55655466,84.52,57,64
beige,very dark,184,144,50,42,72.61146497,72.22,57,46
yellow,very light,255,252,204,56,20,100,100,90
yellow,light,255,241,51,56,80,100,100,60
yellow,medium,255,238,0,56,100,100,100,50
yellow,dark,204,190,0,56,100,80,100,40
yellow,very dark,51,48,0,56,100,20,100,10
yellow/green,very light,242,255,204,75,20,100,100,90
yellow/green,light,204,255,51,75,80,100,100,60
yellow/green,medium,191,255,0,75,100,100,100,50
yellow/green,dark,153,204,0,75,100,80,100,40
yellow/green,very dark,38,51,0,75,100,20,100,10
green,very light,204,255,204,120,20,100,100,90
green,light,51,255,51,120,80,100,100,60
green,medium,0,255,0,120,100,100,100,50
green,dark,0,204,0,120,100,80,100,40
green,very dark,0,51,0,120,100,20,100,10
cyan,very light,204,255,255,180,20,100,100,90
cyan,light,51,255,255,180,80,100,100,60
cyan,medium,0,255,255,180,100,100,100,50
cyan,dark,0,204,204,180,100,80,100,40
cyan,very dark,0,51,51,180,100,20,100,10
blue,very light,204,204,255,240,20,100,100,90
blue,light,51,51,255,240,80,100,100,60
blue,medium,0,0,255,240,100,100,100,50
blue,dark,0,0,204,240,100,80,100,40
blue,very dark,0,0,51,240,100,20,100,10
purple,very light,235,207,252,277,17.62917933,98.7,87,90
purple,light,174,64,242,277,73.41772152,94.8,87,60
purple,medium,153,17,238,277,93.04812834,93.5,87,50
purple,dark,123,13,191,277,93.04812834,74.8,87,40
purple,very dark,31,3,48,277,93.04812834,18.7,87,10
magenta,very light,255,204,255,300,20,100,100,90
magenta,light,255,51,255,300,80,100,100,60
magenta,medium,255,0,255,300,100,100,100,50
magenta,dark,204,0,204,300,100,80,100,40
magenta,very dark,51,0,51,300,100,20,100,10
gray,very light,230,230,230,0,0,90,0,90
gray,light,153,153,153,0,0,60,0,60
gray,medium,128,128,128,0,0,50,0,50
gray,dark,102,102,102,0,0,40,0,40
gray,very dark,26,26,26,0,0,10,0,10
white,very light,255,255,255,0,0,100,0,100
black,very dark,0,0,0,0,0,0,0,0
white,medium,255,255,255,0,0,100,0,100
black,medium,0,0,0,0,0,0,0,0
white,very dark,255,255,255,0,0,100,0,100
black,very light,0,0,0,0,0,0,0,0
white,light,255,255,255,0,0,100,0,100
black,light,0,0,0,0,0,0,0,0
white,dark,255,255,255,0,0,100,0,100
black,dark,0,0,0,0,0,0,0,0
