XOM US Equity,EXXON MOBIL CORP,Exxon Mobil,www.exxonmobil.com,http://images3.wikia.nocookie.net/__cb20111004235221/logopedia/images/thumb/7/77/Exxon-logo_0.gif/200px-Exxon-logo_0.gif,,,,,,
GOOG US Equity,GOOGLE INC-CL A,Google,http://www.google.com/about/company/,http://static3.wikia.nocookie.net/__cb20130911231410/logopedia/images/thumb/9/9a/Google_2013.png/300px-Google_2013.png,,,,,,
MSFT US Equity,MICROSOFT CORP,Microsoft,www.microsoft.com/msft/,http://static4.wikia.nocookie.net/__cb20120823144428/logopedia/images/thumb/e/ed/Microsoft_2012.svg/300px-Microsoft_2012.svg.png,,,,,,
BRK/A US Equity,BERKSHIRE HATH-A,Berkshire Hathaway,www.berkshirehathaway.com,http://www.vectorsland.com/imgd/l72150-berkshire-hathaway-logo-67307.png,,,,,,
GE US Equity,GENERAL ELECTRIC,General Electric,www.ge.com,http://static2.wikia.nocookie.net/__cb20130410143902/logopedia/images/thumb/f/ff/General_Electric_logo.svg/200px-General_Electric_logo.svg.png,,,,,,
JNJ US Equity,JOHNSON&JOHNSON,Johnson & Johnson,www.jnj.com,http://images3.wikia.nocookie.net/__cb20130923025445/logopedia/images/thumb/9/95/Johnson_and_Johnson.svg/300px-Johnson_and_Johnson.svg.png,,,,,,
WMT US Equity,WAL-MART STORES,Walmart,www.walmart.com,http://images3.wikia.nocookie.net/__cb20110514043712/logopedia/images/thumb/3/3d/Walmart_2008.svg/300px-Walmart_2008.svg.png,,,,,,
857 HK Equity,PETROCHINA CO-H,PetroChina,www.petrochina.com.cn,http://www.esginsider.com/downloads/apps/wp-content/uploads/2011/03/PetroChina_Logo.png,,,,,,
ROG VX Equity,ROCHE HLDG-GENUS,Roche,www.roche.com,http://goodlogo.com/images/logos/roche_logo_3281.gif,,,,,,
CVX US Equity,CHEVRON CORP,Chevron,www.chevron.com,http://static3.wikia.nocookie.net/__cb20130327052327/logopedia/images/thumb/8/86/Chevron_Logo.svg/150px-Chevron_Logo.svg.png,,,,,,
NESN VX Equity,NESTLE SA-REG,Nestle,www.nestle.com,http://images1.wikia.nocookie.net/__cb20100702094130/logopedia/images/thumb/4/42/Nestl%C3%A9_nest.svg/100px-Nestl%C3%A9_nest.svg.png,,,,,,
WFC US Equity,WELLS FARGO & CO,Wells Fargo,www.wellsfargo.com,http://static1.wikia.nocookie.net/__cb20111114132760/logopedia/images/9/91/Wells_Fargo_Logo.jpg,,,,,,
601398 CH Equity,IND & COMM BK-A,ICBC,www.icbc.com.cn,http://images.vcpost.com/data/images/full/9387/icbc.jpg?w=680,,,,,,
