UNITED TECH CORP,www.utc.com,http://corpid.utc.com/pdfs/UTC_Corp_ID_Basics.pdf
SAP AG,www.sap.com,http://www.sapteched.com/2013/usa/exhibitors/PDFs/SAPPartnerBrandingGuidelines.pdf
INDITEX,www.inditex.com,http://www.inditex.com/en/press/corporate_identity
MCDONALDS CORP,www.mcdonalds.com,http://issuu.com/janjaneczek/docs/mcds_style_guide
UNITED PARCEL-B,www.ups.com,http://www.scribd.com/doc/214451/brand-identity-ups
BASF SE,www.deutschland.basf.com,http://www.basf.com.ar/pdf/directrices_de_identidad_corporativa.pdf
PETROBRAS-PREF,www.petrobras.com.br,http://www.petrobras.com.br/en/about-us/profile/petrobras-brand/signature-book/downloads/pdf/signature-book.pdf
MASTERCARD INC-A,www.mastercard.com,http://www.emerchant.com/resources/mastercard-brand-standards.pdf
AMERICAN EXPRESS,www.americanexpress.com,http://www.municipay.com/docs/Amexlogo_guidelines.pdf
LLOYDS BANKING,www.lloydsbankinggroup.com,http://www.lloyds.com/~/media/lloyds/reports/brand%20guidelines/lloyds_brokers_brand_guidelines.pdf
CONOCOPHILLIPS,www.conocophillips.com,http://www.conocophillips.com/newsroom/corporate-logos-standards/Pages/default.aspx
3M CO,www.mmm.com,http://solutions.3m.com/wps/portal/3M/en_WW/Corp/Identity/Identity-Elements/3M-Logo/Standards/
DAIMLER AG,www.daimler.com,https://designnavigator.daimler.com/index.php?id=989
BRISTOL-MYER SQB,www.bms.com,http://www.bmsdanmark.dk/Filer/BMSNordicProfessionalfinal_23986.pdf
TORONTO-DOM BANK,www.tdbank.ca,http://issuu.com/stephenbriggs/docs/td_guidelines
CVS CAREMARK COR,www.cvs.com,https://www.cvsstyleguide.com/cvs_pharmacy_logo_styleguide
ALLIANZ SE-VINK,www.allianz.com,https://www.allianzlife.com/IIG/Content/Documents/Forms_And_Marketing_Materials/PFM/New_Business_Forms/M1055.pdf
HONDA MOTOR CO,world.honda.com,http://images.mileone.com/Matt/mwlogos/Honda/StyleGuideP_.pdf
UNITEDHEALTH GRP,www.unitedhealthgroup.com,https://www.unitedhealthrx.com/online_documents/ovation/pdf/odp/resource_center/compliance_corner/2011_Guidelines_for_Logo_and_Brand_Usage_for_Agent_Website_Final.pdf
STATOIL ASA,www.statoil.com,http://www.statoil.com/en/About/History/Downloads/About%20our%20brand.pdf
BAYER MOTOREN WK,www.bmw.com,http://bmwmoa.org/Portals/0/Documents/Content/READ_FIRST_BMW_Club_logo_guidelines.pdf
HENNES & MAURI-B,www.hm.com,http://bvd.se/hm/
ASTRAZENECA PLC,www.astrazeneca.com,http://212.209.1.195/site_assets/pdf/astrazeneca-VVI-guide-15Jan.pdf
NIKE INC -CL B,www.nike.com,http://issuu.com/janjaneczek/docs/nike_brandbook
NTT DOCOMO INC,www.nttdocomo.co.jp/,https://www.nttdocomo.co.jp/english/info/media_center/pr/2008/001394.html
DEUTSCHE TELEKOM,www.telekom3.de,http://hansstol.totaldesign.nl/en/telekom.html
HONEYWELL INTL,www.honeywell.com,http://www.honeywell.com/sites/docs/DGPSUZWKH0FKN5NJKXM74P5NJV9DSCHL1.pdf
EBAY INC,www.ebay.com,http://www.scribd.com/doc/126924896/Ebay-Brand-Guidelines#download
FORD MOTOR CO,www.ford.com,http://dl.dropboxusercontent.com/u/3202151/Guidelines/42616353-Brandbook-Ford.pdf
ROYAL BK SCOTLAN,www.rbs.com,http://www.cdfa.org.uk/wp-content/uploads/2010/05/RBS_Grp_GLs_SEC02_COREv05b_Style-sheet.pdf
STARBUCKS CORP,www.starbucks.com,http://www.armymwr.org/UserFiles/file/Business_Ops/QSR%20Starbucks%20'We%20Proudly%20Serve'%20Logo%20Usage%20Guideline.pdf
TIME WARNER INC,www.timewarner.com,http://www.timewarner.com/sites/timewarner.com/files/ckeditor/public/files/TW_logo_guidelines.pdf
MONSANTO CO,www.monsanto.com,http://www.monsanto.com/SiteCollectionDocuments/brand-guidelines/monsanto-brand-guidelines.pdf
ABB LTD-REG,www.abb.com,http://www.abb.com/cawp/db0003db004115/c125735d004da329c125746a00518ed6.aspx
METLIFE INC,www.metlife.com,https://www.metlife.com/assets/cao/gbms/brandcenter/visual/09020651_BrandBasics.pdf
MEDTRONIC INC,www.medtronic.com,http://media.corporate-ir.net/media_files/IROL/25/251324/1226506614377.pdf
ELI LILLY & CO,www.lilly.com,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&ved=0CDgQFjAB&url=http%3A%2F%2Fbigadvenc.ru%2Fplugins%2Fp2018_download_manager%2Fgetfile.php%3Fcategoryid%3D47%26p2018_sectionid%3D1%26p2018_fileid%3D244&ei=V9K5UrjkCdXJsQTGsoC4Dg&usg=AFQjCNHOr4Q7GT5BQ5khfE50A3gzXdeSIQ&sig2=FsQ0O32b1hykD03tEeH6KA
